IN,OUT,No,R2,MSE,MAE
25,7,5,0.866327884,0.040753774,0.130787673
25,7,6,0.80838042,0.058367455,0.156330899
25,7,7,0.749101465,0.076351547,0.17947845
25,8,1,0.996969886,0.000928119,0.019475595
25,8,2,0.982961787,0.005213932,0.047072277
25,8,3,0.955485266,0.013609098,0.075716763
25,8,4,0.916672451,0.025450775,0.10314601
25,8,5,0.866447032,0.040753701,0.130784167
25,8,6,0.808555174,0.05836744,0.156328918
25,8,7,0.749340531,0.076351045,0.179463703
25,8,8,0.687983007,0.094950655,0.201368713
26,1,1,0.996975468,0.000920815,0.019442652
26,2,1,0.996980237,0.000920213,0.019437297
26,2,2,0.98287882,0.005212524,0.047138382
26,3,1,0.996983462,0.000920042,0.019427798
26,3,2,0.982900825,0.005210635,0.047108898
26,3,3,0.955375528,0.01358587,0.075708511
26,4,1,0.996986209,0.000920026,0.019425598
26,4,2,0.982916385,0.005210487,0.047101036
26,4,3,0.955423909,0.013583681,0.075676821
26,4,4,0.916408872,0.025449224,0.103222321
26,5,1,0.996986838,0.000920312,0.019424975
26,5,2,0.982917865,0.005212615,0.047105864
26,5,3,0.955428157,0.013589003,0.075682649
26,5,4,0.916428671,0.025455884,0.103214108
26,5,5,0.866069966,0.040756576,0.130898542
26,6,1,0.996991665,0.000919712,0.019407768
26,6,2,0.98293902,0.005210944,0.047076959
26,6,3,0.955476154,0.013586456,0.075648955
26,6,4,0.91650893,0.025454645,0.103181036
26,6,5,0.866197954,0.040756194,0.130885886
26,6,6,0.808271059,0.058345503,0.156362605
26,7,1,0.99699541,0.000919447,0.019396204
26,7,2,0.982965886,0.00520769,0.047034749
26,7,3,0.955547078,0.013577278,0.075591805
26,7,4,0.916623651,0.025442301,0.10310765
26,7,5,0.866379685,0.040737981,0.13080969
26,7,6,0.808467739,0.058340857,0.156313277
26,7,7,0.748379623,0.076571213,0.179746841
26,8,1,0.996999289,0.000919113,0.019384799
26,8,2,0.982984978,0.005206835,0.047016444
26,8,3,0.955589443,0.013577248,0.075590177
26,8,4,0.916700266,0.02544228,0.103105102
26,8,5,0.866499021,0.040737837,0.130803498
26,8,6,0.808642576,0.058340793,0.156308109
26,8,7,0.74869003,0.076549188,0.179702392
26,8,8,0.687661598,0.095048463,0.201521366
27,1,1,0.996979706,0.000919525,0.019436499
27,2,1,0.99698409,0.000919039,0.019427399
27,2,2,0.982902491,0.005205317,0.047119196
27,3,1,0.996987394,0.000918842,0.019416981
27,3,2,0.9829251,0.005203238,0.047087775
27,3,3,0.955407438,0.013576155,0.075631205
27,4,1,0.996987236,0.000919345,0.019424462
27,4,2,0.982924117,0.005206072,0.047105613
27,4,3,0.95541095,0.013581855,0.075640046
27,4,4,0.9164127,0.025436656,0.103175362
27,5,1,0.996990782,0.000919107,0.019413448
27,5,2,0.982942066,0.00520523,0.047085251
27,5,3,0.955459521,0.013579441,0.075606486
27,5,4,0.916515225,0.02542952,0.103121028
